Date, Open, High, Low, Close, Volume
5/3/2016,303.33,303.33,300,300.68,44.99999739
5/2/2016,300,301.1,296.67,300,10223.99941
4/28/2016,296.67,299.99,296.67,297.66,2879.999833
4/27/2016,296.79,296.79,296.67,296.67,18368.99893
4/26/2016,297.78,298.89,296.11,298.64,12491.99928
4/25/2016,293.47,297.78,293.47,296.63,6803.999605
4/21/2016,300,303.88,295.56,297.88,3671.999787
4/20/2016,306.56,306.67,294.44,302.66,2726.999842
4/19/2016,299.89,302.66,292.78,301.89,12563.99927
4/18/2016,283.44,302.22,283.33,301.72,8270.99952
4/13/2016,290.11,292.78,290.11,291.83,2951.999829
4/12/2016,289,291.89,289,290.09,1970.999886
4/11/2016,291.89,291.89,289,291.54,7190.999583
4/7/2016,291.67,292.78,291.67,291.74,4031.999766
4/6/2016,292.22,293.89,291.67,291.74,6614.999616
4/5/2016,291.67,293.33,291.67,293.09,6290.999635
4/4/2016,298.78,298.78,291.67,292.27,4247.999754
3/31/2016,273.9,288.59,273.9,283.36,83312.99517
3/30/2016,273.44,275.56,273.33,274.86,3401.999803
3/29/2016,270.11,271.67,269.01,271.13,2429.999859
3/28/2016,271.44,271.88,270.11,270.51,3212.999814
3/24/2016,272.21,272.22,266.67,266.96,7658.999556
3/23/2016,272.22,272.78,266.67,269.81,28286.99836
3/22/2016,277.78,277.78,272.11,272.96,42038.99756
3/21/2016,268.89,274.44,268.78,272.17,16388.99905
3/16/2016,288.89,288.89,280.11,280.72,21635.99875
3/15/2016,293.34,293.34,287.34,287.76,17180.999
3/10/2016,301.11,301.56,300.56,301.49,2222.999871
3/9/2016,300,302.11,298.89,300.89,2015.999883
3/8/2016,302.22,302.22,297.78,298.48,2645.999847
3/7/2016,302.22,302.22,297.33,298.13,1358.999921
3/3/2016,300,305.56,300,302.76,935.9999457
3/2/2016,298.28,303.1,295.56,297.06,5165.9997
3/1/2016,311.11,311.11,295.3,298.27,34649.99799
2/29/2016,309.01,311.11,309.01,310.83,2573.999851
2/25/2016,319,319,309,311.69,15470.9991
2/24/2016,322.89,324.44,305.78,316.39,12734.99926
2/23/2016,330.67,330.67,320,320.86,7757.99955
2/22/2016,337.78,337.78,328.33,332.09,2978.999827
2/18/2016,328.17,331.11,328.17,330.2,2861.999834
2/17/2016,333.33,333.33,321.13,328.09,33407.99806
2/16/2016,327.78,333.33,327.78,333.07,3716.999784
